Starting Balance: 100000.00
Trade 71: WIN | Profit: 1.89 | Balance: 101005.44 | Win Rate: 0.4648
Trade 72: WIN | Profit: 0.37 | Balance: 101035.81 | Win Rate: 0.4722
Trade 73: LOSS | Profit: -0.29 | Balance: 101025.52 | Win Rate: 0.4658
Trade 74: LOSS | Profit: -1.86 | Balance: 101013.66 | Win Rate: 0.4595
Trade 75: WIN | Profit: 0.16 | Balance: 101043.82 | Win Rate: 0.4667
Trade 76: LOSS | Profit: -5.32 | Balance: 101028.50 | Win Rate: 0.4605
Trade 77: LOSS | Profit: -0.83 | Balance: 101017.67 | Win Rate: 0.4545
Trade 78: WIN | Profit: 1.33 | Balance: 101049.00 | Win Rate: 0.4615
Trade 79: WIN | Profit: 4.29 | Balance: 101114.83 | Win Rate: 0.4684
Trade 80: LOSS | Profit: -4.80 | Balance: 101100.03 | Win Rate: 0.4625
Trade 81: LOSS | Profit: -0.91 | Balance: 101089.12 | Win Rate: 0.4568
Trade 82: WIN | Profit: 0.35 | Balance: 101119.47 | Win Rate: 0.4634
Trade 83: LOSS | Profit: -0.46 | Balance: 101109.00 | Win Rate: 0.4578
Trade 84: WIN | Profit: 0.31 | Balance: 101139.31 | Win Rate: 0.4643
Trade 85: LOSS | Profit: -1.16 | Balance: 101128.14 | Win Rate: 0.4588
Trade 86: LOSS | Profit: -0.30 | Balance: 101117.85 | Win Rate: 0.4535
Trade 87: LOSS | Profit: -0.46 | Balance: 101107.39 | Win Rate: 0.4483
Trade 88: LOSS | Profit: -0.09 | Balance: 101097.30 | Win Rate: 0.4432
Trade 89: WIN | Profit: 0.46 | Balance: 101127.76 | Win Rate: 0.4494
Trade 90: LOSS | Profit: -0.28 | Balance: 101117.48 | Win Rate: 0.4444
Trade 91: LOSS | Profit: -8.90 | Balance: 101098.58 | Win Rate: 0.4396
Trade 92: LOSS | Profit: -0.50 | Balance: 101088.08 | Win Rate: 0.4348
Trade 93: LOSS | Profit: -0.51 | Balance: 101077.57 | Win Rate: 0.4301
Trade 94: WIN | Profit: 1.06 | Balance: 101108.62 | Win Rate: 0.4362
Trade 95: WIN | Profit: 0.14 | Balance: 101138.76 | Win Rate: 0.4421
Trade 96: LOSS | Profit: -0.17 | Balance: 101128.59 | Win Rate: 0.4375
Trade 97: LOSS | Profit: -0.05 | Balance: 101118.54 | Win Rate: 0.4330
Trade 98: LOSS | Profit: -1.20 | Balance: 101107.34 | Win Rate: 0.4286
Trade 99: WIN | Profit: 0.05 | Balance: 101137.40 | Win Rate: 0.4343
Trade 100: LOSS | Profit: -0.42 | Balance: 101126.97 | Win Rate: 0.4300
Trade 101: LOSS | Profit: -4.22 | Balance: 101112.76 | Win Rate: 0.4257
Trade 102: WIN | Profit: 0.09 | Balance: 101173.34 | Win Rate: 0.4314
Trade 103: LOSS | Profit: -57.53 | Balance: 101105.80 | Win Rate: 0.4272
Trade 104: WIN | Profit: 0.21 | Balance: 101166.31 | Win Rate: 0.4327
Trade 105: WIN | Profit: 0.10 | Balance: 101196.41 | Win Rate: 0.4381
Trade 106: LOSS | Profit: -0.05 | Balance: 101186.36 | Win Rate: 0.4340
Trade 107: WIN | Profit: 0.47 | Balance: 101247.27 | Win Rate: 0.4393
Trade 108: WIN | Profit: 0.24 | Balance: 101277.52 | Win Rate: 0.4444
Trade 109: LOSS | Profit: -0.40 | Balance: 101267.11 | Win Rate: 0.4404
Trade 110: WIN | Profit: 0.26 | Balance: 101297.38 | Win Rate: 0.4455
Trade 111: WIN | Profit: 1.76 | Balance: 101329.14 | Win Rate: 0.4505
Trade 112: WIN | Profit: 0.37 | Balance: 101359.51 | Win Rate: 0.4554
Trade 113: WIN | Profit: 0.65 | Balance: 101390.16 | Win Rate: 0.4602
Trade 114: LOSS | Profit: -0.08 | Balance: 101380.08 | Win Rate: 0.4561
Trade 115: WIN | Profit: 0.19 | Balance: 101440.52 | Win Rate: 0.4609
Trade 116: LOSS | Profit: -0.01 | Balance: 101430.51 | Win Rate: 0.4569
Trade 117: LOSS | Profit: -1.85 | Balance: 101418.67 | Win Rate: 0.4530
Trade 118: LOSS | Profit: -0.22 | Balance: 101408.45 | Win Rate: 0.4492
Trade 119: WIN | Profit: 0.27 | Balance: 101438.72 | Win Rate: 0.4538
Trade 120: LOSS | Profit: -0.04 | Balance: 101428.68 | Win Rate: 0.4500
